Star_name,RA(deg),DEC(deg),S/N,Teff(K),Teff_error(K),logg(cgs),logg_error(cgs),[Fe/H],[Fe/H]_error,microturbulent_vel(km/s),microturbulent_vel_err(km/s),macroturbulent_vel(km/s),macroturbulent_vel_err(km/s),vsini(km/s),vsini_err(km/s),Mass(Msun),Mass_err_upper(Msun),Mass_err_lower(Msun),Radius(Rsun),Radius_err_upper(Rsun),Radius_err_lower(Rsun),logL(Lsun),logL_err_upper(Lsun),logL_err_lower(Lsun),Age(Gyr),Age_err_upper(Gyr),Age_err_lower(Gyr),EEP,EEP_err_upper,EEP_err_lower,Prob_MS,Prob_RGB,Prob_HB
HD85885,148.5859703,-20.29180017,58,4876,73,2.941,0.163,0.04,0.043,0.631,0.219,3.263,0.519,6.014,0.526,2.61,0.052,0.059,9.05,0.265,0.282,1.71,0.023,0.027,0.53,0.025,0.023,530.67,1.71,1.61,0,0.984,0.016
HD92944,160.9034533,-25.08697158,58,4965,50,2.982,0.095,-0.09,0.042,1.177,0.047,3.37,0.442,5.112,0.469,1.61,0.085,0.087,7.83,0.216,0.204,1.48,0.023,0.022,1.94,0.361,0.267,510.77,1.24,1.32,0,1,0
HD95624,165.5158923,-9.860445374,59,4867,50,2.951,0.111,-0.31,0.043,1.026,0.065,3.229,0.459,4.868,0.487,1.36,0.103,0.096,7.92,0.185,0.18,1.5,0.02,0.02,2.94,0.766,0.596,512.96,1.12,1.26,0,1,0
HD9567,23.14978904,-54.7423457,27,5007,108,2.904,0.211,0.23,0.055,1.265,0.171,3.6,0.431,6.537,0.482,2.12,0.027,0.017,8.31,0.396,0.321,1.5,0.043,0.028,1.1,0.019,0.039,535.37,101.59,2.85,0,0.838,0.162
HD96627,166.9657077,-0.963894535,61,5150,50,3.109,0.113,0.08,0.043,1.271,0.051,3.561,0.433,5.451,0.439,2.14,0.288,0.056,8.49,0.125,0.179,1.6,0.014,0.013,0.96,0.09,0.302,645.4,4.46,117.48,0,0.335,0.665
HD99005,170.8948873,-3.28941635,62,4770,50,2.77,0.103,-0.29,0.043,1.143,0.054,3.378,0.492,4.873,0.495,1,0.064,0.056,7.67,0.154,0.155,1.42,0.016,0.016,8.92,1.898,1.672,512.12,0.91,0.87,0,1,0
HD99330,171.4541519,1.872325809,64,4827,75,3.065,0.165,0.3,0.043,1.091,0.122,2.947,0.497,4.921,0.5,1.34,0.085,0.088,5.09,0.082,0.078,1.07,0.012,0.013,4.56,1.149,0.841,496.22,0.61,0.59,0,1,0
HD99783,172.0600857,-52.05141399,61,5209,50,2.982,0.111,0.14,0.043,1.289,0.052,3.939,0.46,5.75,0.48,2.68,0.028,0.028,8.98,0.128,0.137,1.72,0.014,0.014,0.52,0.011,0.011,526.68,1.79,1.9,0,1,0
HD99891,172.2826621,-56.83954899,61,5175,50,3.055,0.103,0.11,0.042,1.188,0.052,3.72,0.437,5.531,0.449,2.51,0.039,0.045,8.18,0.189,0.185,1.61,0.019,0.021,0.61,0.023,0.019,525.65,1.52,1.52,0,0.997,0.003
TYC1172-588-1,354.6477114,11.84314467,34,4847,58,2.753,0.137,-0.14,0.044,1.136,0.086,3.55,0.526,3.642,0.621,1.01,0.067,0.061,5.98,0.139,0.138,1.22,0.02,0.018,9.09,2.098,1.733,503.9,1.02,0.98,0,1,0
TYC5312-953-1,63.4510105,-9.3526425,38,5107,62,3.054,0.141,-0.06,0.044,0.891,0.121,3.557,0.476,5.889,0.571,1.74,0.113,0.134,5.45,0.109,0.104,1.24,0.022,0.021,1.5,0.396,0.23,495.87,1.92,1.67,0,1,0
TYC5464-59-1,143.0490987,-10.8436264,60,5281,52,3.143,0.126,-0.03,0.043,1.184,0.061,3.837,0.443,4.246,0.458,2.03,0.066,0.057,6.1,0.132,0.118,1.37,0.016,0.015,1.01,0.072,0.077,511.99,4.12,12.11,0,1,0
TYC6951-496-1,324.2724055,-28.6320396,62,5061,50,3.02,0.109,0.2,0.043,1.238,0.058,3.512,0.446,4.594,0.468,2.54,0.051,0.089,8.57,0.135,0.123,1.62,0.013,0.013,0.62,0.052,0.023,527.14,1.74,1.32,0,0.881,0.119
TYC8373-756-1,282.3097484,-46.50809265,26,4947,74,2.807,0.181,-0.14,0.046,1.23,0.1,3.65,0.567,3.322,0.762,1.45,0.094,0.105,8.14,0.175,0.154,1.5,0.017,0.017,2.65,0.667,0.462,513.25,0.84,0.91,0,1,0
TYC8519-263-1,84.87068971,-53.09931995,38,4643,74,2.855,0.167,0.27,0.044,1.16,0.126,3.016,0.534,3.503,0.566,1.27,0.089,0.091,6.73,0.119,0.122,1.26,0.014,0.015,5.5,1.535,1.126,505.44,0.84,0.7,0,1,0
