Star_name,RA(deg),DEC(deg),S/N,Teff(K),Teff_error(K),logg(cgs),logg_error(cgs),[Fe/H],[Fe/H]_error,microturbulent_vel(km/s),microturbulent_vel_err(km/s),macroturbulent_vel(km/s),macroturbulent_vel_err(km/s),vsini(km/s),vsini_err(km/s),Mass(Msun),Mass_err_upper(Msun),Mass_err_lower(Msun),Radius(Rsun),Radius_err_upper(Rsun),Radius_err_lower(Rsun),logL(Lsun),logL_err_upper(Lsun),logL_err_lower(Lsun),Age(Gyr),Age_err_upper(Gyr),Age_err_lower(Gyr),EEP,EEP_err_upper,EEP_err_lower,Prob_MS,Prob_RGB,Prob_HB
HD196997,310.3826047,-20.81182212,38,4983,53,2.683,0.137,0.11,0.044,1.305,0.074,3.948,0.542,4.295,0.586,2.17,0.095,0.096,9.06,0.287,0.201,1.64,0.029,0.02,1.02,0.16,0.154,656.04,4.01,4.2,0,0.002,0.998
HD197254,310.7204981,-12.00424058,31,5159,66,3.237,0.165,0.13,0.047,1.31,0.089,3.351,0.474,5.414,0.531,2.2,0.079,0.084,7.42,0.237,0.22,1.48,0.025,0.026,0.88,0.088,0.071,524.96,3.17,3.03,0,0.993,0.007
HD197579,311.2372196,-11.03077031,43,5128,50,2.928,0.142,-0.07,0.043,1.439,0.056,3.837,0.496,4.176,0.546,2.07,0.04,0.036,8.41,0.139,0.141,1.6,0.014,0.015,0.99,0.046,0.053,644.75,3.2,1.54,0,0.016,0.984
HD197790,312.1285606,-57.70582521,60,4989,50,2.97,0.11,-0.31,0.043,1.119,0.054,3.443,0.456,5.121,0.484,1.6,0.087,0.101,7.52,0.105,0.11,1.49,0.013,0.012,1.73,0.374,0.252,511.8,0.78,0.92,0,1,0
HD199554,314.8757082,-43.95278294,33,4948,51,3.094,0.126,-0.02,0.044,1.225,0.068,3.133,0.443,3.743,0.575,1.63,0.09,0.086,7.16,0.156,0.149,1.41,0.017,0.017,1.93,0.352,0.278,506.79,1.41,1.59,0,1,0
HD2009,6.034856949,-39.67805869,40,4870,50,2.559,0.123,-0.41,0.045,1.236,0.057,3.943,0.556,3.668,0.722,1.13,0.106,0.096,8.21,0.516,0.481,1.51,0.054,0.052,5.24,1.839,1.345,513.57,2,1.71,0,1,0
HD201013,316.8745511,-19.08825576,66,5098,50,2.949,0.088,0.11,0.042,1.318,0.039,3.725,0.448,5.422,0.474,2.27,0.068,0.065,9.14,0.131,0.123,1.66,0.012,0.01,0.85,0.109,0.078,660.2,1.26,3.44,0,0.094,0.906
HD201846,318.1726994,-15.84842595,27,5177,75,2.936,0.167,-0.18,0.05,1.132,0.144,3.942,0.539,4.028,0.742,2.15,0.092,0.095,9.09,0.318,0.321,1.7,0.032,0.033,0.87,0.148,0.116,659.75,6.7,5,0,0.008,0.992
HD20186,48.51751724,-17.86618972,39,5269,50,2.922,0.116,-0.02,0.045,1.362,0.051,4.203,0.478,4.781,0.654,2.11,0.261,0.048,8.42,0.162,0.215,1.61,0.017,0.016,0.93,0.073,0.267,645.63,4.68,116.45,0,0.323,0.677
HD202704,319.8510935,-49.39847916,60,5303,54,2.95,0.132,0.18,0.047,1.288,0.073,4.245,0.489,6.851,0.497,2.72,0.034,0.033,9.13,0.17,0.151,1.72,0.015,0.014,0.51,0.012,0.012,527.39,1.58,1.62,0,1,0
HD202714,319.6833461,-33.06813491,60,5022,50,3.141,0.095,-0.04,0.043,1.13,0.051,3.206,0.409,4.903,0.418,1.71,0.124,0.11,5.9,0.111,0.108,1.28,0.02,0.02,1.61,0.356,0.285,498.9,1.71,1.72,0,1,0
HD203086,320.2211997,-30.95529301,61,5252,50,3.016,0.119,0.17,0.043,1.301,0.055,3.988,0.46,4.53,0.477,2.59,0.032,0.032,8.29,0.152,0.149,1.64,0.014,0.016,0.58,0.016,0.014,523.82,1.61,1.65,0,1,0
HD204649,322.8544577,-45.53316292,34,4931,54,2.75,0.155,0.1,0.045,1.463,0.08,3.718,0.543,4.569,0.603,2.09,0.042,0.044,8.56,0.16,0.108,1.57,0.013,0.009,1.09,0.062,0.074,643.26,2.69,6.74,0,0.149,0.851
HD205588,324.2509122,-28.60901771,61,5081,50,3.092,0.113,0.21,0.043,1.278,0.058,3.427,0.435,4.357,0.455,2.56,0.045,0.053,8.54,0.125,0.116,1.62,0.012,0.013,0.61,0.026,0.019,526.52,1.26,1.22,0,0.974,0.026
HD206005,324.8671057,-10.57687242,67,4818,50,2.81,0.106,-0.02,0.043,1.199,0.057,3.391,0.486,5.171,0.492,1.73,0.135,0.106,8.93,0.22,0.249,1.58,0.013,0.012,1.6,0.337,0.307,514.21,1.88,1.9,0,0.94,0.06
HD206757,326.3482436,-41.98394317,33,4856,61,2.666,0.146,-0.12,0.044,1.133,0.09,3.723,0.555,2.988,0.654,0.89,0.012,0.009,10.27,0.057,0.051,1.67,0.004,0.003,13.12,0.266,0.467,660.78,0.66,1.01,0,0.001,0.999
HD207920,328.1873233,-3.992023877,64,5175,50,3.025,0.099,0.02,0.043,1.288,0.043,3.774,0.44,4.556,0.48,2.59,0.051,0.242,9.13,0.25,0.21,1.71,0.016,0.016,0.53,0.177,0.02,531.48,131.18,1.71,0,0.797,0.203
HD209154,330.3869161,-15.61202175,59,5207,50,3.27,0.098,0,0.045,1.22,0.051,3.413,0.389,5.621,0.419,2.26,0.04,0.041,6.93,0.08,0.082,1.48,0.01,0.011,0.77,0.026,0.021,520.61,1.46,1.24,0,1,0
HD210070,332.2556172,-49.88669176,33,4891,60,3.02,0.144,-0.12,0.044,1.058,0.095,3.149,0.479,3.352,0.537,1.9,0.017,0.018,6.79,0.114,0.136,1.38,0.01,0.015,1.32,0.023,0.031,500.33,0.57,0.89,0,1,0
HD21340,51.40204263,-27.2724895,58,4978,50,3.11,0.109,-0.06,0.043,1.067,0.064,3.166,0.425,5.154,0.429,1.7,0.09,0.088,6.19,0.063,0.062,1.32,0.01,0.008,1.64,0.263,0.213,501.04,1.42,1.59,0,1,0
HD213986,338.9015657,-23.99109413,62,5037,50,3.031,0.118,0.21,0.043,1.192,0.071,3.437,0.451,4.131,0.464,2.44,0.042,0.068,7.76,0.246,0.207,1.54,0.015,0.013,0.69,0.042,0.021,522.48,2.45,2.05,0,0.936,0.064
HD214941,340.561945,-34.2774123,62,4916,63,2.809,0.139,0.05,0.043,0.808,0.138,3.582,0.52,4.992,0.547,2.36,0.069,0.087,9.79,0.224,0.196,1.74,0.019,0.017,0.75,0.114,0.082,668.89,0.89,2.83,0,0.017,0.983
HD215767,341.961286,-24.12161321,39,4757,58,2.681,0.15,-0.07,0.044,1.322,0.073,3.516,0.551,3.892,0.574,1.05,0.07,0.064,7.8,0.155,0.145,1.4,0.016,0.015,8.45,1.951,1.571,512,0.86,0.83,0,1,0
HD217053,344.4677349,-5.536531225,37,4879,65,2.733,0.161,-0.27,0.044,1.216,0.078,3.646,0.556,3.76,0.6,1.11,0.073,0.068,8.5,0.19,0.181,1.51,0.018,0.017,6.13,1.441,1.146,514.54,0.95,0.97,0,1,0
HD217365,345.2433156,-54.21746855,37,4700,68,2.992,0.162,-0.02,0.043,0.969,0.122,2.857,0.501,3.491,0.562,1.1,0.081,0.066,5.36,0.086,0.089,1.13,0.014,0.014,7.47,1.728,1.57,499.72,0.86,1.23,0,1,0
HD217614,345.6844518,-52.96534553,60,5069,50,3.003,0.104,0,0.046,1.23,0.058,3.561,0.446,6.884,0.476,2.11,0.043,0.05,8.56,0.11,0.079,1.61,0.014,0.01,0.98,0.081,0.079,648.87,2.95,2.89,0,0.03,0.97
HD218120,346.3979087,-14.39810472,35,4863,50,2.537,0.115,-0.43,0.046,1.285,0.057,3.969,0.555,3.235,0.762,1.1,0.075,0.073,9.23,0.235,0.217,1.6,0.021,0.02,5.63,1.404,1.072,517.62,0.91,0.91,0,1,0
HD219026,348.5080093,-71.21014472,61,4992,50,2.987,0.096,-0.07,0.043,1.153,0.049,3.418,0.442,3.488,0.478,1.85,0.076,0.095,7.67,0.102,0.099,1.49,0.012,0.012,1.26,0.194,0.119,508.47,1.35,1.04,0,1,0
HD219263,348.7442495,-41.10539456,65,4672,60,2.699,0.154,0.18,0.043,1.321,0.086,3.394,0.389,3.928,0.399,1.55,0.125,0.128,8.66,0.295,0.261,1.5,0.015,0.013,2.63,0.862,0.588,513.37,1.72,2.44,0,1,0
HD219775,349.723997,-46.16260375,37,4829,64,2.914,0.159,0.03,0.043,1.227,0.086,3.224,0.515,3.502,0.558,2.06,0.038,0.025,8.95,0.192,0.214,1.56,0.014,0.015,1.11,0.026,0.05,524.33,7.43,5.06,0,0.964,0.036
HD220864,352.0265553,-66.90888725,60,4977,50,3.131,0.1,0.12,0.043,1.173,0.057,3.125,0.413,4.956,0.419,1.74,0.088,0.093,5.78,0.075,0.075,1.25,0.011,0.011,1.67,0.271,0.199,496.32,1.86,1.82,0,1,0
HD221059,352.1916808,11.51228062,39,4772,64,2.59,0.165,-0.03,0.043,1.335,0.081,3.707,0.586,3.747,0.623,1.37,0.119,0.133,8.71,0.181,0.169,1.52,0.019,0.021,3.44,1.433,0.792,514.84,0.87,0.94,0,1,0
HD22176,53.04126958,-50.81959333,33,5152,60,2.957,0.149,-0.04,0.045,1.228,0.08,3.841,0.504,4.536,0.676,2.43,0.059,0.079,8.31,0.279,0.243,1.64,0.025,0.025,0.62,0.047,0.031,529.22,2.5,1.91,0,0.893,0.107
HD221897,354.1203946,-64.08715228,37,4657,66,2.662,0.16,0.13,0.044,1.22,0.102,3.386,0.564,3.604,0.628,1.24,0.089,0.093,8.41,0.165,0.151,1.45,0.016,0.015,5.51,1.631,1.099,512.88,0.94,0.75,0,1,0
