Star,RA(deg),DEC(deg),JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN(mas),Category
,,,9739.91,63,3.432,0.003,,,,
HD220096,350.314579,-26.98676818,8650.88,65,16.181,0.008,0.022,0.926,0.306,3
,,,10140.83,37,16.16,0.01,,,,
HD223700,357.9796357,-33.12202511,8650.92,56,-1.780,0.003,0.017,1.13,0.132,3
,,,9737.92,61,-1.797,0.003,,,,
HD27956,66.04206577,-16.0418461,9537.69,58,46.109,0.003,0.014,1.089,0.155,3
,,,10140.91,36,46.096,0.004,,,,
HD3303,8.888912389,-54.82187171,9537.55,59,-9.689,0.003,0.012,0.888,0.152,3
,,,9739.93,62,-9.677,0.003,,,,
HD745,2.948043686,9.13996278,9537.54,35,-2.089,0.003,0.013,1.05,0.172,3
,,,10140.83,58,-2.076,0.005,,,,
HD99783,172.0600857,-52.05141399,9673.61,61,12.558,0.003,0.0065,0.959,0.12,3
,,,9737.48,54,12.565,0.004,,,,
BD-025910,348.3917211,-1.987941718,10226.55,43,-1.569,0.004,,1.317,0.138,3
BD-07164,15.54302129,-7.085285196,10225.78,35,3.900,0.005,,1.323,0.125,3
BD+004462,304.1593334,0.9414947966,10225.64,29,-50.72,0.01,,1.329,0.136,3
BD+0431,4.85046764,4.945994579,10224.70,27,13.132,0.007,,1.317,0.129,3
CD-324787,120.9984402,-32.41936946,9738.49,35,0.721,0.003,,0.981,0.09,3
HD179120,288.7738209,-61.44052484,9737.83,61,-7.142,0.003,,0.995,0.112,3
HD187562,298.1313342,-45.29483932,10140.76,43,-2.496,0.006,,0.982,0.068,3
HD194536,307.3554081,-61.68402013,10224.52,28,-21.146,0.005,,1.355,0.128,3
HD205588,324.2509122,-28.60901771,9737.86,61,5.746,0.003,,1.005,0.122,3
HD217053,344.4677349,-5.536531225,10225.73,37,2.578,0.004,,1.317,0.146,3
HD219026,348.5080093,-71.21014472,8650.87,56,-2.864,0.003,,1.149,0.155,3
HD219026,348.5080093,-71.21014472,9737.93,61,-2.870,0.003,,1.149,0.155,3
HD26120,61.75404438,-27.13368029,10225.85,41,19.200,0.004,,1.351,0.161,3
HD40525,89.06921504,-54.16676608,10226.72,36,-0.913,0.005,,1.319,0.207,3
HD71464,126.8707961,-6.559946944,9673.53,53,39.480,0.005,,1.285,0.145,3
TYC6951-496-1,324.2509122,-28.60901771,8650.77,62,5.741,0.003,,1.005,0.122,3
