Star,JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN,Category
,10140.87,56,-23.188,0.005,,,,
HD6030,9537.58,34,-13.489,0.003,9.2,1.984,0.292,1
,10140.88,58,-22.646,0.005,,,,
HD6254,9537.66,37,56.734,0.003,6.3,2.6,0.496,1
,10140.86,58,50.423,0.004,,,,
HD73070,9739.47,41,7.149,0.003,0.50,2.452,0.265,1
,10226.88,61,6.645,0.004,,,,
HD95624,9738.54,30,-80.716,0.003,8.98,5.923,1.165,1
,10143.48,59,-71.737,0.005,,,,
HD99005,9738.58,62,1.793,0.003,2.5,3.129,0.491,1
,10143.49,17,4.335,0.008,,,,
HD99330,9738.55,38,-5.533,0.003,0.50,5.288,0.701,1
,10143.47,64,-6.037,0.004,,,,
TYC5312-953-1,10224.87,30,-5.993,0.007,0.14,3.077,0.384,1
,10227.75,38,-5.858,0.006,,,,
BD-1119,10224.69,28,-2.199,0.005,,4.458,0.422,1
BD-17922,10224.83,35,43.396,0.004,,3.873,0.5,1
BD+003575,9738.76,63,7.324,0.003,,4.252,0.522,1
BD+02694,10224.85,36,58.550,0.005,,3.605,0.511,1
BD+05136,10224.73,25,-1.85,0.01,,5.644,0.749,1
BD+153012,9739.66,66,-20.116,0.003,,3.257,0.496,1
CD-251745,10227.78,39,45.458,0.005,,5.415,0.713,1
CD-3018265,10224.56,27,70.001,0.005,,7.218,0.981,1
CD-331236,10224.77,26,-7.920,0.005,,6.679,0.917,1
CD-339045,10143.50,16,-22.026,0.008,,4.688,0.577,1
CD-371312,10225.82,38,71.490,0.004,,3.949,0.477,1
CD-3913785,10227.59,38,12.734,0.004,,4.16,0.573,1
CD-431047,10224.80,32,14.204,0.005,,4.716,0.745,1
CD-452254,10226.73,39,33.814,0.004,,4.204,0.522,1
CD-5012869,10227.57,38,-24.084,0.004,,9.626,1.085,1
CD-5112230,10143.80,39,-22.126,0.004,,5.627,0.674,1
CD-662575,10225.69,40,11.258,0.004,,4.612,0.625,1
HD11664,10226.79,44,8.546,0.004,,2.813,0.449,1
HD118601,9738.71,62,7.346,0.004,,5.307,0.478,1
HD120,10227.71,37,15.444,0.005,,4.638,0.626,1
HD155046,9738.78,61,-79.815,0.004,,4.55,0.782,1
HD18416,10224.78,26,21.523,0.006,,5.646,0.857,1
HD190896,10224.51,27,-13.475,0.005,,4.331,0.519,1
HD196248,10224.55,32,14.323,0.006,,3.789,0.552,1
HD197254,10225.66,31,23.246,0.006,,3.88,0.608,1
HD197579,10226.54,43,16.044,0.004,,4.114,0.668,1
HD2009,10226.59,40,22.728,0.004,,3.185,0.429,1
HD201846,10224.58,27,-13.885,0.007,,5.559,0.985,1
HD20186,10225.81,39,29.116,0.004,,3.364,0.492,1
HD204649,10224.59,34,60.328,0.005,,3.696,0.556,1
HD210070,10225.67,33,26.598,0.005,,6.199,0.777,1
HD219470,10225.76,39,-17.98,0.01,,4.383,0.508,1
HD219775,10226.58,37,38.476,0.004,,4.085,0.521,1
HD22176,10224.81,33,9.716,0.006,,4.317,0.71,1
HD222051,10226.76,42,24.118,0.004,,5.253,0.734,1
HD223619,10226.77,40,8.144,0.004,,5.082,0.67,1
HD23213,10227.84,34,4.784,0.005,,8.085,1.122,1
HD270913,10227.87,33,53.417,0.004,,4.752,0.844,1
HD274522,10226.70,35,-4.768,0.005,,6.486,0.843,1
HD43375,10226.74,38,19.101,0.004,,4.57,0.536,1
HD4952,10224.68,30,-1.634,0.009,,4.248,0.616,1
HD7039,10225.80,35,7.161,0.004,,5.945,0.905,1
HD71562,10226.87,40,2.869,0.004,,2.914,0.47,1
HD84804,9739.50,62,19.929,0.003,,4.201,0.516,1
HD9567,10224.72,27,-6.356,0.007,,6.408,0.888,1
TYC8519-263-1,10226.71,38,28.380,0.004,,3.865,0.476,1
HD102805,8651.54,44,-11.575,0.004,0.77,0.924,0.087,2
,9673.64,61,-11.058,0.003,,,,
,9737.53,61,-11.015,0.003,,,,
,10142.53,36,-10.802,0.004,,,,
HD170105,8651.66,45,30.608,0.004,1.7,0.897,0.098,2
,9673.86,61,31.675,0.003,,,,
,9737.81,62,31.736,0.003,,,,
,10140.65,45,32.271,0.004,,,,
HD99891,8651.50,45,-14.337,0.004,0.14,1.352,0.167,2
,9673.62,60,-14.473,0.003,,,,
,9737.50,32,-14.449,0.003,,,,
,10142.51,61,-14.481,0.005,,,,
HD202704,8650.84,56,3.234,0.004,0.12,1.027,0.141,2
,9737.89,60,3.160,0.004,,,,
,10140.63,39,3.110,0.005,,,,
HD4145,9537.53,61,-8.590,0.003,0.31,0.993,0.2,2
,9739.94,37,-8.495,0.003,,,,
,10140.85,61,-8.284,0.004,,,,
CD-529252,10143.81,36,-69.357,0.005,0.055,2.403,0.258,2
,10227.50,31,-69.302,0.005,,,,
CD-581114,10225.87,35,67.847,0.004,0.017,1.403,0.162,2
,10227.76,35,67.864,0.004,,,,
HD100409,9738.62,62,2.197,0.003,0.011,1.724,0.298,2
,10142.52,36,2.209,0.005,,,,
HD10268,9537.62,37,-11.248,0.003,0.0086,1.719,0.276,2
,10140.87,69,-11.257,0.004,,,,
HD115541,9738.68,58,-5.578,0.004,0.015,2.871,0.344,2
,10142.55,39,-5.563,0.005,,,,
HD185544,9739.79,43,12.965,0.003,0.0034,2.237,0.279,2
,10140.75,61,12.969,0.004,,,,
HD22792,9537.65,60,24.127,0.003,0.84,1.229,0.171,2
,10140.89,38,23.286,0.004,,,,
TYC8373-756-1,10143.73,26,54.175,0.007,0.066,1.603,0.148,2
,10225.57,19,54.240,0.006,,,,
HD177668,10143.69,28,4.700,0.004,0.017,3.098,0.347,2
,10225.60,40,4.717,0.005,,3.098,0.347,2
BD-06908,10227.81,35,7.919,0.004,,2.266,0.247,2
BD-09279,10226.62,37,-3.376,0.004,,1.493,0.181,2
BD-14302,10224.74,26,-40.780,0.006,,3.005,0.374,2
BD-15833,10225.83,41,17.128,0.004,,1.819,0.203,2
BD+002249,10226.85,36,-40.232,0.004,,1.863,0.27,2
BD+002251,10226.86,38,-13.727,0.004,,2.98,0.376,2
BD+0696,10224.64,32,22.227,0.005,,1.566,0.178,2
BD+084680,10224.62,27,-59.605,0.005,,2.341,0.314,2
BD+09139,10227.72,36,-45.980,0.004,,1.894,0.211,2
BD+125070,10227.68,35,-20.460,0.005,,2.238,0.277,2
BD+16328,10227.74,36,-6.828,0.006,,1.597,0.178,2
CD-242335,10227.80,40,32.556,0.006,,2.144,0.24,2
CD-2516784,10227.69,37,-7.699,0.004,,1.924,0.221,2
CD-2613981,10225.62,32,-56.654,0.006,,2.386,0.26,2
CD-2718,10225.76,37,-11.169,0.005,,1.896,0.224,2
CD-2816392,10227.53,34,-14.939,0.004,,2.428,0.316,2
CD-3018710,10224.60,29,7.173,0.005,,1.738,0.201,2
CD-361284,10227.83,36,14.723,0.005,,2.119,0.289,2
CD-3613943,10227.55,35,-31.937,0.004,,1.898,0.236,2
CD-66436,10226.83,40,84.653,0.005,,2.119,0.287,2
CD-79305,10226.84,35,17.730,0.006,,2.945,0.388,2
CD-81204,10226.80,36,5.258,0.005,,2.334,0.3,2
CPD-5011378,10227.61,40,-45.511,0.004,,2.444,0.275,2
HD120301,10143.55,14,6.092,0.009,,2.027,0.22,2
