Star,RA(deg),DEC(deg),RUWE,AEN(mas),Solution_type
HD123237,211.6758761,-11.5017875,2.696,0.493,Acceleration7
HD127742,218.2626267,5.322903914,10.151,1.549,Acceleration9
HD134659,227.5824821,25.74975159,5.209,0.762,Acceleration9
HD14364,34.70967961,-14.25116161,1.599,0.243,Acceleration9
HD157686,261.1053585,6.519792122,2.232,0.428,Acceleration7
HD170985,277.5583247,43.32805458,5.782,0.983,Acceleration9
HD174156,281.1476962,64.81039228,8.126,1.451,Acceleration9
HD18278,43.09206884,-67.30716091,5.464,1.036,Acceleration7
HD18416,44.10055233,-36.01591479,5.646,0.857,Acceleration9
HD185490,295.0046935,-17.46214422,6.774,0.92,Acceleration9
HD190122,301.6983705,-60.36083791,5.245,0.999,Acceleration9
HD190834,300.432341,69.88089273,4.73,0.839,Acceleration9
HD190896,302.1363689,-36.28017656,4.331,0.519,Acceleration7
HD193359,305.1160129,-19.54427454,2.157,0.26,Acceleration7
HD196997,310.3826188,-20.81189161,2.408,0.318,Acceleration7
HD197579,311.2371522,-11.03082938,4.114,0.668,Acceleration9
HD200910,316.7231356,-15.89472374,3.171,0.392,Acceleration7
HD201013,316.8747207,-19.08851495,4.128,0.7,Acceleration9
HD20186,48.51758143,-17.8662262,3.364,0.492,Acceleration9
HD202726,319.5828879,-21.20130941,1.752,0.193,Acceleration7
HD203192,320.322319,-19.16518959,1.784,0.258,Acceleration7
HD204649,322.854294,-45.53319869,3.696,0.556,Acceleration9
HD210713,334.5441328,-80.22904317,2.11,0.318,Acceleration9
HD218120,346.3979721,-14.39807,2.317,0.319,Acceleration9
HD219775,349.7239613,-46.16261923,4.085,0.521,Acceleration7
HD222051,354.3542225,-14.21670234,5.253,0.734,Acceleration7
HD223752,358.1104615,-47.75674351,2.75,0.355,Acceleration7
HD224485,359.6006676,-43.93312705,2.193,0.32,Acceleration7
HD22630,54.54329285,-7.483304201,5.55,1.167,Acceleration9
HD230564,285.9024871,18.16008305,2.106,0.269,Acceleration9
HD23151,57.27417975,73.72556047,1.801,0.203,Acceleration7
